inputId,Age_in_years,Credit_amount,Credit_history,Duration_in_month,Housing,Installment_rate_in_percentage_of_disposable_income,Job,Number_of_existing_credits_at_this_bank,Number_of_people_being_liable_to_provide_maintenance_for,Other_installment_plans,Personal_status_and_sex,Present_employment_since,Present_residence_since,Property,Purpose,Savings_account_bonds,Status_of_existing_checking_account,Telephone,_Other_debtors_or_guarantors,foreign_worker,good_3_bad_2_customer,groups
0,1,5103,A34,24,A153,3,A173,3,1,A143,A94,A72,3,A124,A43,A61,A14,0,A101,A201,1,1
1,1,3349,A31,24,A153,4,A173,1,2,A143,A93,A72,4,A124,A42,A63,A11,0,A101,A201,0,1
2,1,701,A32,12,A152,4,A172,1,1,A143,A94,A73,2,A121,A43,A61,A11,1,A101,A201,1,1
3,1,2022,A34,24,A152,4,A173,1,1,A143,A92,A73,4,A123,A40,A61,A14,0,A101,A201,1,1
4,1,11816,A30,45,A151,2,A173,2,1,A143,A93,A75,4,A123,A49,A61,A11,1,A101,A201,0,1
5,1,1126,A32,9,A152,2,A173,1,1,A143,A91,A75,4,A121,A43,A62,A13,1,A101,A201,1,1
6,1,1323,A34,6,A152,2,A173,2,2,A143,A91,A75,4,A123,A40,A62,A13,0,A101,A201,1,1
7,1,12749,A33,48,A152,4,A174,1,1,A143,A93,A74,1,A123,A43,A63,A14,0,A101,A201,1,1
8,1,753,A32,6,A152,2,A173,1,1,A143,A92,A73,3,A121,A43,A61,A12,1,A103,A201,1,1
9,0,882,A34,13,A152,4,A173,2,1,A143,A93,A72,4,A121,A43,A61,A12,1,A103,A201,1,0
10,0,2718,A32,24,A151,3,A172,1,1,A143,A92,A73,4,A122,A40,A61,A12,0,A101,A201,0,0
11,1,709,A32,6,A152,2,A171,1,1,A143,A94,A72,2,A121,A40,A64,A13,1,A101,A202,1,1
12,1,3651,A32,12,A152,1,A173,1,2,A143,A93,A73,3,A122,A40,A64,A11,1,A101,A201,1,1
13,1,1755,A32,24,A152,4,A172,1,1,A143,A92,A75,4,A121,A410,A61,A11,0,A103,A201,1,1
14,1,2012,A34,12,A152,4,A173,1,1,A143,A92,A74,2,A123,A46,A65,A14,1,A101,A201,1,1
15,1,1525,A32,24,A152,4,A173,1,2,A143,A92,A74,3,A123,A40,A64,A14,0,A101,A201,1,1
16,1,1199,A32,9,A152,4,A174,2,1,A143,A92,A74,4,A122,A46,A61,A12,0,A101,A201,1,1
17,1,10366,A32,60,A152,2,A174,1,1,A143,A93,A75,4,A122,A40,A61,A14,0,A101,A201,1,1
18,1,2923,A32,21,A152,1,A174,1,1,A141,A92,A73,1,A123,A40,A62,A13,0,A101,A201,1,1
19,1,5998,A34,40,A152,4,A173,1,1,A141,A93,A73,3,A124,A46,A61,A11,0,A101,A201,0,1
20,0,3758,A32,24,A151,1,A171,1,1,A143,A92,A71,4,A124,A43,A63,A12,1,A101,A201,1,0
21,1,4530,A34,30,A151,4,A174,1,1,A143,A92,A74,4,A123,A43,A61,A14,0,A101,A201,1,1
22,0,1568,A32,18,A151,3,A172,1,1,A143,A92,A73,4,A122,A49,A62,A14,1,A101,A201,1,0
23,0,1444,A32,15,A152,4,A173,1,1,A143,A93,A72,1,A122,A43,A65,A12,1,A101,A201,1,0
24,1,1495,A34,12,A152,4,A172,2,2,A143,A93,A75,1,A121,A40,A61,A14,1,A101,A201,1,1
25,1,4153,A32,18,A152,2,A173,1,1,A143,A93,A73,3,A123,A42,A61,A11,1,A102,A201,0,1
26,1,2659,A32,18,A152,4,A173,1,1,A143,A93,A73,2,A123,A42,A64,A11,1,A101,A201,1,1
27,1,1249,A32,24,A152,4,A173,1,1,A143,A94,A72,2,A121,A40,A61,A14,1,A101,A201,1,1
28,1,1082,A30,12,A152,4,A173,2,1,A141,A93,A73,4,A123,A40,A61,A11,1,A101,A201,0,1
29,0,5511,A32,24,A152,4,A173,1,1,A142,A93,A73,1,A123,A42,A62,A14,1,A101,A201,1,0
30,1,6742,A34,30,A152,2,A173,2,1,A143,A93,A74,3,A122,A43,A65,A14,1,A101,A201,1,1
31,0,2238,A34,18,A152,2,A173,2,1,A143,A92,A73,1,A123,A43,A61,A14,1,A101,A201,1,0
32,1,2993,A33,21,A152,3,A172,2,1,A142,A93,A73,2,A121,A41,A61,A14,1,A101,A201,1,1
33,1,3430,A32,24,A152,3,A173,1,2,A143,A93,A75,2,A123,A43,A63,A14,0,A101,A201,1,1
34,1,7721,A32,24,A152,1,A173,1,1,A143,A92,A72,2,A122,A42,A65,A11,0,A101,A202,1,1
35,1,684,A32,12,A151,4,A172,1,2,A143,A93,A73,4,A123,A46,A61,A11,1,A101,A201,0,1
36,1,6458,A31,18,A152,2,A174,2,2,A141,A93,A75,4,A124,A40,A61,A14,0,A101,A201,0,1
37,1,6078,A32,12,A152,2,A173,1,1,A143,A93,A74,2,A123,A40,A61,A12,1,A101,A201,1,1
38,1,12612,A32,36,A153,1,A173,1,2,A143,A93,A73,4,A124,A46,A62,A12,0,A101,A201,0,1
39,0,866,A32,18,A152,4,A172,1,1,A143,A94,A73,2,A121,A43,A61,A12,1,A103,A201,1,0
40,1,1309,A32,10,A152,4,A172,1,1,A143,A93,A73,4,A122,A40,A65,A14,1,A103,A201,0,1
41,1,2415,A32,7,A152,3,A173,1,1,A143,A93,A73,2,A121,A43,A61,A12,1,A103,A201,1,1
42,1,2675,A32,22,A152,3,A173,1,1,A143,A93,A75,4,A123,A43,A63,A14,1,A101,A201,1,1
43,0,932,A33,6,A152,3,A173,1,1,A143,A92,A73,2,A121,A43,A61,A14,1,A101,A201,1,0
44,1,1817,A34,18,A152,4,A173,2,1,A143,A92,A73,2,A124,A42,A61,A14,1,A101,A201,1,1
45,0,1768,A32,12,A151,3,A172,1,1,A143,A93,A73,2,A121,A42,A61,A14,1,A101,A201,1,0
46,1,3001,A32,18,A151,2,A173,1,1,A143,A92,A74,4,A121,A42,A61,A12,1,A101,A201,1,1
47,1,6288,A32,60,A153,4,A173,1,1,A143,A93,A73,4,A124,A46,A61,A12,1,A101,A201,0,1
48,1,11328,A32,24,A152,2,A174,2,1,A141,A93,A73,3,A123,A410,A61,A12,0,A102,A201,0,1
49,1,3345,A32,24,A151,4,A174,1,1,A143,A93,A75,2,A122,A42,A61,A11,0,A101,A201,0,1
50,1,1372,A32,12,A152,2,A173,1,1,A143,A91,A74,3,A123,A40,A61,A11,1,A101,A201,0,1
51,0,3832,A32,30,A152,2,A173,1,1,A143,A94,A72,1,A122,A42,A61,A12,1,A101,A201,1,0
52,1,2366,A34,12,A152,3,A174,1,1,A143,A91,A74,3,A123,A40,A63,A12,0,A101,A201,1,1
53,1,1338,A32,6,A152,1,A173,1,1,A143,A91,A73,4,A121,A44,A63,A14,1,A101,A201,1,1
54,1,7228,A34,11,A152,1,A172,2,1,A143,A93,A73,4,A122,A40,A61,A14,1,A101,A201,1,1
55,0,3190,A32,18,A152,2,A173,1,1,A143,A92,A73,2,A121,A43,A61,A11,1,A101,A201,0,0
56,1,3835,A32,36,A152,2,A172,1,1,A143,A92,A75,4,A121,A43,A65,A14,0,A101,A201,1,1
57,1,1884,A32,12,A152,4,A174,1,1,A143,A93,A75,4,A123,A40,A61,A14,0,A101,A201,1,1
58,1,1851,A34,24,A152,4,A173,2,1,A143,A94,A74,2,A123,A43,A61,A14,0,A103,A201,1,1
59,1,3069,A32,24,A153,4,A173,1,1,A143,A93,A75,4,A124,A42,A62,A12,1,A101,A201,1,1
60,1,2246,A34,12,A152,3,A173,2,1,A143,A93,A75,3,A122,A42,A61,A11,1,A101,A201,0,1
61,1,1823,A32,24,A152,4,A174,1,2,A142,A93,A71,2,A123,A43,A61,A11,1,A101,A201,0,1
62,0,1546,A31,24,A151,4,A172,1,1,A141,A93,A74,4,A123,A43,A61,A11,1,A103,A201,0,0
63,1,6110,A34,48,A153,1,A173,1,1,A141,A93,A73,3,A124,A46,A61,A14,0,A101,A201,1,1
64,0,6560,A32,48,A152,3,A173,1,1,A143,A93,A74,2,A122,A40,A62,A12,1,A101,A201,0,0
65,0,1262,A32,12,A152,3,A173,1,1,A143,A93,A73,2,A123,A43,A61,A14,1,A101,A201,1,0
66,0,1670,A32,9,A152,4,A173,1,1,A143,A92,A72,2,A123,A43,A61,A12,0,A101,A201,0,0
67,1,1898,A34,6,A152,1,A172,2,2,A143,A93,A73,2,A121,A43,A65,A14,1,A101,A201,1,1
68,0,1246,A32,24,A152,4,A172,1,1,A142,A93,A72,2,A121,A40,A61,A12,1,A101,A201,0,0
69,1,1478,A34,15,A152,4,A173,2,2,A143,A93,A75,4,A123,A42,A61,A11,0,A101,A201,1,1
70,0,2221,A32,15,A151,2,A173,1,1,A143,A92,A73,4,A123,A42,A63,A14,1,A101,A201,1,0
71,1,691,A34,12,A152,4,A173,2,1,A143,A93,A75,3,A122,A40,A61,A11,1,A101,A201,0,1
72,1,3077,A34,30,A152,3,A173,2,2,A143,A93,A75,2,A123,A43,A65,A14,0,A101,A201,1,1
73,1,1318,A32,12,A152,4,A173,1,1,A143,A93,A75,4,A121,A40,A64,A12,0,A101,A201,1,1
74,1,3656,A34,30,A152,4,A172,2,1,A142,A93,A75,4,A122,A43,A65,A13,1,A101,A201,1,1
75,1,2122,A34,12,A151,3,A172,2,2,A143,A93,A73,2,A121,A40,A61,A11,1,A101,A202,1,1
76,1,2121,A34,12,A152,4,A173,2,1,A143,A93,A73,2,A122,A40,A61,A11,1,A101,A201,1,1
77,1,2116,A32,6,A152,2,A173,1,1,A143,A93,A73,2,A121,A42,A61,A13,0,A101,A201,1,1
78,1,2831,A34,30,A152,4,A173,1,1,A143,A92,A73,2,A123,A43,A61,A14,0,A101,A201,1,1
79,1,2442,A34,27,A152,4,A174,4,2,A142,A93,A75,4,A123,A49,A61,A11,0,A101,A201,1,1
80,1,1537,A34,15,A152,4,A173,2,1,A143,A93,A75,4,A121,A43,A65,A12,0,A103,A201,1,1
81,1,2892,A32,24,A153,3,A173,1,1,A143,A91,A75,4,A124,A42,A61,A13,1,A101,A201,1,1
82,1,3447,A31,12,A152,4,A172,1,2,A143,A92,A73,3,A121,A48,A63,A14,1,A101,A201,1,1
83,1,1347,A34,10,A152,4,A173,2,1,A143,A93,A74,2,A122,A43,A65,A13,0,A101,A201,1,1
84,1,2389,A32,18,A152,4,A173,1,1,A142,A92,A72,1,A123,A43,A61,A11,1,A101,A201,1,1
85,1,3249,A32,36,A153,2,A174,1,2,A141,A93,A74,4,A124,A40,A61,A11,0,A101,A201,1,1
86,1,3757,A32,24,A153,4,A173,1,1,A143,A92,A75,4,A124,A40,A61,A14,0,A102,A201,1,1
87,1,1449,A32,9,A152,3,A173,2,1,A143,A92,A74,2,A123,A49,A61,A14,1,A101,A201,1,1
88,1,3161,A31,24,A151,4,A173,1,1,A143,A93,A73,2,A122,A49,A61,A11,0,A101,A201,0,1
89,1,1512,A33,15,A152,3,A173,2,1,A142,A94,A73,3,A122,A45,A64,A12,1,A101,A201,0,1
90,1,1995,A34,12,A152,4,A173,1,1,A143,A93,A72,1,A123,A40,A62,A12,1,A101,A201,1,1
91,1,8978,A32,14,A152,1,A174,1,1,A143,A91,A75,4,A122,A40,A61,A11,0,A101,A202,0,1
92,0,1282,A32,12,A151,2,A173,1,1,A143,A92,A73,4,A123,A42,A61,A11,1,A101,A201,0,0
93,1,7865,A32,12,A153,4,A174,1,1,A143,A93,A75,4,A124,A42,A61,A11,0,A101,A201,0,1
94,0,4736,A34,24,A152,2,A172,1,1,A141,A92,A72,4,A123,A42,A61,A12,1,A101,A201,0,0
95,1,4380,A32,18,A152,3,A172,1,2,A143,A93,A73,4,A123,A40,A62,A11,0,A101,A201,1,1
96,1,4870,A33,24,A153,3,A173,2,2,A143,A93,A73,4,A124,A40,A61,A11,1,A101,A201,0,1
97,1,5954,A34,42,A152,2,A172,2,1,A141,A92,A74,1,A121,A49,A61,A12,1,A101,A201,1,1
98,1,2241,A32,21,A152,4,A173,2,1,A143,A93,A75,2,A121,A42,A61,A14,1,A101,A201,1,1
99,1,5507,A34,24,A153,3,A173,2,1,A143,A93,A75,4,A124,A45,A61,A14,1,A101,A201,1,1
100,1,2186,A32,15,A151,1,A172,1,1,A141,A92,A74,4,A121,A42,A65,A14,1,A101,A201,1,1
101,0,1258,A32,24,A152,4,A173,1,1,A143,A93,A74,1,A121,A49,A61,A14,0,A101,A201,1,0
102,1,1778,A30,15,A151,2,A171,2,1,A143,A92,A72,1,A121,A40,A61,A12,1,A101,A201,0,1
103,0,11560,A32,24,A151,1,A174,2,1,A143,A92,A73,4,A123,A41,A61,A12,1,A101,A201,0,0
104,0,2210,A32,10,A151,2,A172,1,1,A141,A93,A73,2,A121,A42,A61,A14,1,A101,A201,0,0
105,1,1845,A32,15,A151,4,A173,1,1,A143,A92,A72,1,A122,A42,A61,A11,1,A103,A201,1,1
106,1,2748,A34,12,A153,2,A172,3,1,A141,A92,A75,4,A124,A46,A61,A14,1,A101,A201,1,1
107,1,4657,A32,15,A152,3,A173,1,1,A143,A93,A73,2,A123,A41,A61,A14,0,A101,A201,1,1
108,0,2039,A32,24,A152,1,A173,1,1,A143,A94,A72,1,A122,A43,A61,A12,0,A101,A201,0,0
109,1,3123,A32,24,A152,4,A173,1,1,A143,A92,A72,1,A122,A40,A61,A11,1,A101,A201,0,1
110,1,10722,A32,47,A152,1,A172,1,1,A143,A92,A72,1,A121,A40,A61,A11,0,A101,A201,1,1
111,1,1445,A31,18,A152,4,A172,1,1,A141,A93,A74,4,A123,A43,A65,A13,1,A101,A201,1,1
112,1,1403,A32,15,A151,2,A173,1,1,A143,A92,A73,4,A123,A40,A61,A11,1,A101,A201,1,1
113,1,1185,A34,12,A152,3,A173,2,1,A143,A92,A73,2,A121,A49,A61,A14,1,A101,A201,1,1
114,1,2384,A32,24,A151,4,A172,1,1,A141,A93,A75,4,A121,A43,A61,A11,1,A101,A201,1,1
115,1,590,A32,6,A152,3,A172,1,1,A143,A94,A72,3,A121,A43,A61,A12,1,A101,A202,1,1
116,1,2100,A32,18,A152,4,A173,1,1,A142,A93,A73,2,A121,A43,A61,A13,1,A102,A201,0,1
117,1,3966,A34,18,A151,1,A173,3,1,A141,A92,A75,4,A121,A40,A61,A11,0,A101,A201,0,1
118,1,3857,A32,30,A152,4,A174,1,1,A143,A91,A73,4,A122,A41,A61,A11,0,A101,A201,1,1
119,1,5804,A34,24,A152,4,A173,2,1,A143,A93,A73,2,A121,A41,A64,A14,1,A101,A201,1,1
120,1,7882,A32,42,A153,2,A173,1,2,A143,A93,A74,4,A122,A42,A61,A11,1,A103,A201,1,1
121,1,1201,A32,24,A152,4,A173,1,1,A143,A93,A72,1,A122,A40,A61,A12,1,A101,A201,1,1
122,1,1287,A32,10,A152,4,A172,1,1,A143,A93,A75,2,A122,A40,A65,A14,1,A102,A202,1,1
123,1,1216,A34,24,A152,4,A173,2,2,A141,A93,A72,4,A124,A43,A62,A12,1,A101,A201,0,1
124,0,2323,A32,36,A151,4,A173,1,1,A143,A93,A74,4,A123,A43,A61,A12,1,A101,A201,1,0
125,1,8613,A33,27,A152,2,A173,2,1,A143,A93,A73,2,A123,A41,A64,A14,1,A101,A201,1,1
126,0,585,A33,12,A151,4,A173,2,1,A143,A94,A73,4,A121,A43,A61,A12,1,A102,A201,1,0
127,1,709,A32,12,A152,4,A172,1,1,A142,A93,A75,4,A121,A43,A61,A11,1,A101,A201,0,1
128,1,1520,A34,15,A152,4,A173,1,1,A143,A93,A75,4,A122,A42,A65,A14,1,A101,A201,1,1
129,1,13756,A34,60,A153,2,A174,1,1,A141,A93,A75,4,A124,A40,A65,A14,0,A101,A201,1,1
130,1,3599,A32,21,A151,1,A172,1,1,A143,A92,A74,4,A123,A42,A61,A11,1,A101,A201,1,1
131,1,1797,A34,13,A152,3,A172,2,1,A141,A93,A72,1,A122,A49,A61,A11,1,A101,A201,1,1
132,1,1236,A32,6,A151,2,A173,1,1,A143,A93,A73,4,A122,A41,A63,A14,1,A101,A201,1,1
133,1,2315,A32,10,A152,3,A172,1,1,A143,A93,A75,4,A121,A43,A61,A11,1,A101,A201,1,1
134,1,7629,A34,48,A152,4,A174,2,2,A141,A91,A75,2,A123,A49,A65,A14,1,A101,A201,1,1
135,0,2039,A32,18,A151,1,A173,1,1,A141,A92,A73,4,A121,A42,A61,A11,1,A101,A201,0,0
136,1,2606,A32,21,A151,4,A174,1,1,A143,A92,A72,4,A122,A43,A61,A11,0,A101,A201,1,1
137,0,15653,A33,60,A152,2,A173,2,1,A143,A93,A74,4,A123,A43,A61,A14,0,A101,A201,1,0
138,1,1597,A34,24,A153,4,A173,2,2,A143,A93,A75,4,A124,A46,A61,A14,1,A101,A201,1,1
139,0,2080,A34,6,A152,1,A173,1,1,A143,A94,A73,2,A123,A40,A63,A14,1,A101,A201,1,0
140,0,1216,A32,18,A151,4,A173,1,1,A143,A92,A72,3,A123,A40,A61,A11,0,A101,A201,0,0
141,1,1154,A34,11,A152,4,A172,3,1,A143,A92,A71,4,A121,A43,A62,A14,1,A101,A201,1,1
142,1,2028,A32,12,A152,4,A173,1,1,A143,A93,A73,2,A123,A41,A65,A12,1,A101,A201,1,1
143,1,4473,A32,36,A152,4,A173,1,1,A143,A93,A75,2,A123,A43,A61,A13,1,A101,A201,1,1
144,1,701,A34,12,A152,4,A173,2,1,A143,A93,A73,2,A123,A46,A61,A14,1,A101,A201,1,1
145,1,719,A32,12,A152,4,A172,1,2,A141,A93,A75,4,A123,A46,A61,A14,1,A101,A201,0,1
146,1,2603,A32,24,A151,2,A173,1,1,A143,A92,A73,4,A123,A41,A64,A14,0,A101,A201,1,1
147,1,763,A32,12,A152,4,A173,1,1,A143,A92,A73,1,A121,A42,A61,A14,0,A101,A201,1,1
148,1,932,A34,6,A152,1,A172,2,1,A143,A92,A74,3,A122,A48,A65,A12,1,A101,A201,1,1
149,1,1935,A34,24,A152,4,A173,2,1,A143,A91,A75,4,A121,A49,A61,A12,0,A101,A201,0,1
150,1,2133,A32,12,A153,4,A174,1,1,A143,A92,A75,4,A124,A40,A65,A14,0,A101,A201,1,1
151,1,1928,A34,18,A152,2,A172,2,1,A143,A93,A72,2,A121,A42,A61,A12,1,A101,A201,0,1
152,1,1819,A32,36,A153,4,A173,1,1,A142,A93,A73,4,A124,A46,A61,A14,0,A101,A201,0,1
153,1,1572,A32,21,A152,4,A172,1,1,A141,A92,A75,4,A121,A49,A64,A14,1,A101,A201,1,1
154,1,776,A32,12,A152,4,A173,1,1,A143,A94,A73,2,A121,A43,A61,A14,1,A101,A201,1,1
155,1,2279,A32,12,A153,4,A173,1,1,A143,A93,A73,4,A124,A43,A65,A14,0,A101,A201,1,1
156,1,7253,A34,33,A152,3,A174,2,1,A143,A93,A74,2,A123,A41,A61,A14,0,A101,A201,1,1
157,1,1455,A34,4,A152,2,A172,3,2,A143,A93,A74,1,A121,A40,A61,A14,1,A101,A201,1,1
158,0,626,A31,12,A152,4,A172,1,1,A141,A92,A73,4,A121,A43,A61,A11,1,A101,A201,0,0
159,0,3973,A32,14,A153,1,A173,1,1,A143,A93,A71,4,A124,A40,A61,A11,1,A101,A201,1,0
160,1,2064,A33,24,A152,3,A174,1,1,A143,A92,A71,2,A122,A42,A61,A12,0,A101,A201,0,1
161,1,1977,A32,36,A152,4,A174,1,1,A143,A93,A75,4,A124,A46,A65,A11,0,A101,A201,0,1
162,1,3446,A32,36,A152,4,A173,1,2,A143,A93,A75,2,A123,A42,A61,A11,1,A101,A201,0,1
163,1,3959,A32,15,A152,3,A173,1,1,A143,A92,A73,2,A122,A40,A61,A11,0,A101,A201,0,1
164,1,672,A32,6,A152,1,A171,1,1,A143,A92,A71,4,A121,A40,A61,A14,0,A101,A201,1,1
165,0,1442,A32,24,A151,4,A173,2,1,A143,A92,A74,4,A123,A40,A61,A11,1,A101,A201,0,0
166,1,1941,A32,18,A152,4,A172,1,1,A143,A93,A73,2,A122,A49,A64,A12,0,A101,A201,1,1
167,1,9436,A30,54,A152,2,A172,1,2,A143,A93,A73,2,A122,A41,A65,A14,1,A101,A201,1,1
168,1,2169,A33,18,A152,4,A173,1,1,A143,A94,A73,2,A123,A49,A61,A14,0,A101,A201,0,1
169,0,4746,A34,45,A152,4,A172,2,1,A143,A93,A72,2,A122,A43,A61,A12,1,A101,A201,0,0
170,1,1927,A34,24,A152,3,A173,2,1,A143,A92,A73,2,A123,A46,A65,A14,0,A101,A201,1,1
171,1,3414,A33,21,A152,2,A173,2,1,A143,A93,A72,1,A122,A46,A61,A11,1,A101,A201,0,1
172,0,2136,A32,9,A152,3,A173,1,1,A143,A93,A73,2,A121,A42,A61,A11,1,A101,A201,1,0
173,1,3556,A32,15,A152,3,A173,1,1,A143,A93,A73,2,A124,A40,A65,A14,1,A101,A201,1,1
174,1,1190,A34,18,A153,2,A171,3,2,A143,A92,A71,4,A124,A45,A61,A11,1,A101,A201,0,1
175,1,4591,A32,24,A152,2,A174,3,1,A143,A93,A73,3,A122,A49,A64,A14,0,A101,A201,0,1
176,1,362,A34,6,A152,4,A172,2,1,A143,A92,A73,4,A123,A40,A62,A14,1,A101,A201,1,1
177,1,1549,A32,9,A152,4,A171,1,1,A143,A93,A72,2,A121,A40,A65,A12,1,A101,A201,1,1
178,1,2348,A34,36,A152,3,A173,2,1,A143,A94,A73,2,A122,A42,A61,A11,0,A101,A201,1,1
179,1,2930,A32,12,A152,2,A173,1,1,A143,A92,A74,1,A121,A43,A61,A12,1,A101,A201,1,1
180,1,1442,A31,18,A153,4,A172,2,2,A143,A93,A74,4,A124,A40,A61,A11,1,A101,A201,0,1
181,1,3643,A33,15,A152,1,A172,2,1,A143,A92,A75,4,A122,A42,A61,A11,1,A101,A201,1,1
182,1,1984,A32,18,A153,4,A173,2,1,A141,A93,A73,4,A124,A42,A61,A14,1,A101,A201,1,1
183,1,2149,A31,12,A153,4,A173,1,1,A143,A91,A73,1,A124,A43,A61,A11,1,A101,A201,0,1
184,1,3049,A32,18,A152,1,A172,1,1,A142,A92,A72,1,A122,A42,A61,A13,1,A101,A201,1,1
185,1,3915,A32,27,A152,4,A173,1,2,A143,A93,A73,2,A123,A49,A61,A12,0,A101,A201,0,1
186,0,2301,A32,9,A151,2,A173,1,1,A143,A92,A72,4,A122,A42,A62,A14,1,A101,A201,1,0
187,1,1382,A34,24,A152,4,A173,2,1,A143,A93,A74,1,A121,A49,A62,A11,0,A101,A201,1,1
188,1,1217,A32,18,A152,4,A172,1,1,A143,A94,A73,3,A121,A44,A61,A11,0,A101,A201,0,1
189,1,1657,A32,12,A152,2,A173,1,1,A143,A93,A73,2,A121,A42,A61,A11,1,A101,A201,1,1
190,1,931,A31,6,A152,1,A172,1,1,A142,A92,A72,1,A122,A40,A62,A12,1,A101,A201,0,1
191,0,1236,A32,9,A151,1,A173,1,1,A143,A92,A72,4,A121,A44,A61,A14,0,A101,A201,1,0
192,0,2327,A32,15,A152,2,A172,1,1,A143,A92,A72,3,A121,A43,A61,A13,1,A101,A201,0,0
193,1,2051,A32,18,A152,4,A173,1,1,A143,A93,A72,1,A121,A43,A61,A14,1,A101,A201,1,1
194,1,10974,A32,36,A152,4,A174,2,1,A143,A92,A71,2,A123,A42,A61,A14,0,A101,A201,0,1
195,1,1188,A32,21,A152,2,A173,1,2,A143,A92,A75,4,A122,A49,A61,A12,1,A101,A201,0,1
