inputId,Age_in_years,Credit_amount,Credit_history,Duration_in_month,Housing,Installment_rate_in_percentage_of_disposable_income,Job,Number_of_existing_credits_at_this_bank,Number_of_people_being_liable_to_provide_maintenance_for,Other_installment_plans,Personal_status_and_sex,Present_employment_since,Present_residence_since,Property,Purpose,Savings_account_bonds,Status_of_existing_checking_account,Telephone,_Other_debtors_or_guarantors,foreign_worker,good_3_bad_2_customer,groups
196,1,1459,A34,15,A152,4,A172,1,1,A143,A92,A73,2,A123,A43,A61,A14,1,A101,A201,1,1
197,1,2346,A34,24,A152,4,A173,2,1,A143,A93,A74,3,A123,A41,A61,A14,0,A101,A201,1,1
198,1,4623,A32,15,A152,3,A174,1,1,A143,A93,A73,2,A122,A46,A62,A14,0,A101,A201,0,1
199,1,11760,A33,39,A151,2,A173,1,1,A143,A93,A74,3,A124,A46,A62,A12,0,A101,A201,1,1
200,0,1371,A32,24,A151,4,A173,1,1,A143,A92,A73,4,A121,A40,A65,A11,1,A101,A201,0,0
201,1,1533,A32,18,A152,4,A172,1,2,A143,A94,A72,1,A122,A42,A61,A14,1,A102,A201,0,1
202,0,2462,A32,18,A152,2,A173,1,1,A143,A93,A73,2,A123,A42,A61,A11,1,A101,A201,0,0
203,0,8487,A32,48,A152,1,A173,1,1,A143,A92,A74,2,A123,A40,A65,A12,1,A101,A201,1,0
204,1,1449,A33,6,A152,1,A173,2,2,A141,A91,A75,2,A123,A49,A62,A12,1,A101,A201,1,1
205,1,9157,A33,60,A153,2,A174,1,1,A143,A93,A73,2,A124,A43,A65,A12,1,A101,A201,1,1
206,1,2611,A34,24,A152,4,A173,2,1,A143,A94,A75,3,A121,A43,A61,A14,1,A102,A201,1,1
207,1,797,A34,12,A152,4,A172,1,2,A141,A92,A75,3,A122,A43,A65,A14,1,A101,A201,0,1
208,1,3512,A32,24,A152,2,A173,2,1,A141,A93,A74,3,A123,A40,A62,A12,0,A101,A201,1,1
209,1,2249,A32,18,A152,4,A174,1,2,A143,A93,A74,3,A123,A40,A62,A11,0,A101,A201,1,1
210,1,4042,A34,42,A152,4,A173,2,1,A143,A93,A73,4,A121,A42,A63,A14,0,A101,A201,1,1
211,1,2235,A34,20,A151,4,A173,2,1,A141,A94,A73,2,A122,A40,A61,A11,1,A103,A202,0,1
212,1,1101,A32,12,A152,3,A173,2,1,A143,A94,A73,2,A121,A40,A61,A14,0,A101,A201,1,1
213,1,1360,A34,15,A152,4,A173,2,1,A143,A93,A73,2,A122,A43,A61,A14,1,A101,A201,1,1
214,1,3621,A32,24,A152,2,A173,2,1,A143,A93,A75,4,A123,A43,A62,A14,1,A101,A201,0,1
215,0,14421,A30,48,A152,2,A173,1,1,A143,A93,A73,2,A123,A49,A61,A12,0,A101,A201,0,0
216,1,15945,A30,54,A151,3,A173,1,1,A143,A93,A72,4,A124,A49,A61,A12,0,A101,A201,0,1
217,0,1258,A34,12,A151,2,A172,2,1,A143,A92,A72,4,A122,A42,A61,A14,1,A101,A201,1,0
218,1,2538,A33,24,A152,4,A172,2,2,A143,A93,A75,4,A123,A40,A61,A14,1,A101,A201,0,1
219,1,1957,A34,6,A152,1,A173,1,1,A143,A92,A74,4,A123,A43,A61,A11,1,A101,A201,1,1
220,1,522,A34,12,A152,4,A173,2,2,A143,A93,A75,4,A122,A43,A63,A14,0,A101,A201,1,1
221,1,2910,A32,24,A153,2,A174,1,1,A143,A93,A74,1,A124,A41,A61,A11,0,A101,A201,1,1
222,1,888,A32,12,A152,4,A172,1,2,A141,A93,A75,4,A123,A40,A61,A12,1,A101,A201,0,1
223,1,1108,A30,12,A152,4,A173,2,1,A143,A93,A74,3,A121,A45,A61,A11,1,A101,A201,0,1
224,1,484,A32,6,A152,3,A172,1,1,A141,A94,A74,3,A121,A43,A61,A12,1,A103,A201,1,1
225,0,1275,A32,10,A152,4,A173,1,1,A143,A92,A72,2,A122,A42,A61,A13,1,A101,A201,1,0
226,1,3527,A32,12,A152,2,A174,1,2,A143,A93,A72,3,A122,A40,A65,A14,0,A101,A201,1,1
227,1,7393,A32,24,A152,1,A172,1,2,A143,A93,A73,4,A122,A40,A61,A14,1,A101,A201,1,1
228,1,2728,A34,15,A152,4,A173,3,1,A141,A93,A74,2,A121,A43,A65,A12,0,A103,A201,1,1
229,1,250,A34,6,A152,2,A172,2,1,A141,A92,A73,2,A121,A40,A64,A14,1,A101,A201,1,1
230,1,5045,A34,15,A152,1,A173,1,1,A143,A92,A75,4,A123,A40,A65,A14,0,A101,A201,1,1
231,1,3079,A32,36,A152,4,A173,1,1,A143,A93,A73,4,A121,A40,A65,A14,1,A101,A201,1,1
232,1,2825,A34,24,A152,4,A173,2,2,A143,A93,A74,3,A124,A49,A65,A12,0,A101,A201,1,1
233,1,1224,A34,9,A152,3,A173,2,1,A143,A93,A73,1,A121,A40,A61,A14,1,A101,A201,1,1
234,1,860,A34,6,A152,1,A173,2,1,A143,A92,A75,4,A124,A40,A61,A11,0,A101,A201,1,1
235,1,6070,A34,18,A152,3,A173,2,1,A143,A93,A75,4,A123,A43,A61,A14,0,A101,A201,1,1
236,1,6204,A33,18,A152,2,A172,1,2,A143,A93,A73,4,A121,A45,A61,A12,0,A101,A201,1,1
237,1,5433,A32,24,A151,2,A174,1,1,A143,A92,A71,4,A122,A41,A65,A14,0,A101,A201,1,1
238,0,458,A32,9,A152,4,A173,1,1,A143,A93,A73,3,A121,A43,A61,A12,1,A101,A201,1,0
239,1,4241,A30,24,A152,1,A172,3,1,A143,A93,A73,4,A121,A49,A61,A12,0,A101,A201,0,1
240,1,3620,A32,36,A152,1,A173,1,2,A143,A93,A73,2,A122,A42,A61,A11,1,A103,A201,1,1
241,1,8386,A34,30,A152,2,A173,1,1,A143,A93,A74,2,A122,A42,A61,A12,1,A101,A201,0,1
242,1,1913,A32,18,A152,3,A173,1,1,A141,A94,A72,3,A121,A49,A64,A12,0,A101,A201,1,1
243,1,654,A32,9,A152,4,A172,1,1,A143,A93,A73,3,A123,A40,A61,A11,1,A101,A201,0,1
244,1,2384,A32,36,A151,4,A172,1,1,A143,A93,A72,1,A124,A45,A61,A12,1,A101,A201,0,1
245,1,8086,A33,36,A152,2,A174,4,1,A143,A93,A75,4,A123,A40,A62,A12,0,A101,A201,0,1
246,1,3652,A34,21,A152,2,A173,2,1,A143,A93,A74,3,A122,A49,A61,A12,1,A101,A201,1,1
247,1,5800,A34,36,A152,3,A173,2,1,A143,A93,A73,4,A123,A41,A61,A12,0,A101,A201,1,1
248,1,2964,A32,24,A153,4,A173,1,2,A141,A93,A75,4,A124,A41,A65,A11,0,A101,A201,1,1
249,1,10127,A34,48,A153,2,A173,1,1,A141,A93,A73,2,A124,A40,A63,A14,1,A101,A201,0,1
250,1,708,A32,12,A152,2,A172,1,2,A143,A93,A73,3,A122,A42,A61,A11,1,A103,A201,1,1
251,1,4006,A32,28,A152,3,A172,1,1,A143,A93,A73,2,A123,A40,A61,A11,1,A101,A201,0,1
252,0,1138,A34,9,A152,4,A172,2,1,A143,A93,A73,4,A121,A43,A61,A11,1,A101,A201,1,0
253,1,1595,A32,6,A152,3,A173,1,2,A143,A93,A74,2,A122,A43,A61,A14,1,A101,A201,1,1
254,1,343,A32,6,A152,4,A173,1,1,A143,A92,A72,1,A121,A44,A61,A11,1,A101,A201,1,1
255,1,959,A32,9,A152,1,A173,1,1,A143,A92,A73,2,A123,A42,A61,A12,1,A101,A202,0,1
256,1,2375,A33,24,A152,4,A173,2,2,A143,A93,A73,2,A123,A49,A63,A14,0,A101,A201,1,1
257,1,2273,A32,36,A152,3,A173,2,2,A143,A93,A74,1,A123,A46,A61,A12,1,A101,A201,1,1
258,0,9629,A34,36,A152,4,A173,2,1,A143,A93,A74,4,A123,A41,A61,A11,0,A101,A201,0,0
259,1,629,A34,18,A152,4,A174,2,1,A141,A93,A75,3,A122,A43,A63,A14,0,A101,A201,1,1
260,0,1858,A32,12,A151,4,A173,1,1,A143,A92,A72,1,A123,A42,A61,A11,1,A101,A201,1,0
261,0,1297,A32,12,A151,3,A173,1,1,A143,A94,A73,4,A121,A43,A61,A13,1,A101,A201,1,0
262,1,9398,A32,36,A151,1,A174,1,1,A143,A94,A72,4,A123,A41,A61,A12,0,A101,A201,0,1
263,1,947,A32,24,A153,4,A173,1,2,A141,A93,A74,3,A124,A40,A61,A13,1,A101,A201,0,1
264,1,1963,A32,12,A151,4,A174,2,2,A143,A93,A74,2,A123,A43,A61,A14,0,A101,A201,1,1
265,1,426,A30,6,A152,4,A172,1,1,A143,A94,A75,4,A123,A43,A61,A14,1,A101,A201,1,1
266,1,1437,A31,9,A152,2,A173,1,1,A143,A93,A74,3,A124,A40,A62,A12,1,A101,A201,0,1
267,0,2030,A32,9,A152,2,A173,1,1,A143,A93,A74,1,A123,A42,A65,A12,0,A101,A201,1,0
268,1,1474,A32,24,A152,4,A173,1,1,A143,A94,A72,3,A121,A40,A62,A14,0,A101,A201,1,1
269,0,3509,A32,18,A152,4,A173,1,1,A143,A92,A74,1,A121,A43,A61,A11,1,A103,A201,1,0
270,1,1282,A32,24,A152,4,A172,1,1,A143,A92,A73,2,A123,A43,A62,A11,1,A101,A201,0,1
271,0,1295,A32,12,A151,3,A173,1,1,A143,A92,A72,1,A123,A40,A61,A12,1,A101,A201,0,0
272,1,3804,A30,36,A152,4,A173,1,1,A143,A92,A73,1,A123,A43,A61,A12,0,A101,A201,0,1
273,1,8335,A32,36,A153,3,A173,1,1,A143,A93,A75,4,A124,A41,A65,A11,1,A101,A201,0,1
274,0,1498,A32,12,A152,4,A173,1,1,A141,A92,A73,1,A123,A43,A61,A11,1,A101,A201,1,0
275,1,4455,A33,36,A152,2,A174,2,1,A142,A91,A73,2,A121,A49,A61,A12,0,A101,A201,0,1
276,1,1837,A31,24,A153,4,A172,1,1,A141,A92,A74,4,A124,A46,A61,A12,1,A101,A201,0,1
277,1,4020,A32,24,A152,2,A173,1,1,A142,A93,A73,2,A123,A42,A61,A11,1,A101,A201,1,1
278,1,2901,A32,10,A151,1,A173,1,1,A143,A92,A72,4,A121,A41,A65,A14,1,A101,A201,1,1
279,1,2181,A34,30,A152,4,A173,2,1,A143,A93,A75,4,A121,A40,A65,A12,1,A101,A201,1,1
280,0,433,A32,18,A151,3,A173,1,1,A143,A92,A71,4,A121,A43,A61,A14,1,A102,A201,0,0
281,1,5150,A34,24,A152,4,A173,1,1,A143,A93,A75,4,A123,A42,A61,A14,0,A101,A201,1,1
282,1,7119,A30,48,A153,3,A173,2,2,A143,A93,A73,4,A124,A42,A61,A11,1,A101,A201,0,1
283,1,1047,A34,6,A152,2,A172,1,1,A143,A92,A73,4,A122,A46,A61,A13,1,A101,A201,1,1
284,1,1543,A32,6,A152,4,A173,1,1,A143,A91,A73,2,A121,A42,A64,A14,1,A101,A201,1,1
285,1,1743,A33,6,A152,1,A172,2,1,A143,A93,A73,2,A121,A49,A62,A14,1,A101,A201,1,1
286,1,518,A32,6,A152,3,A173,1,1,A143,A92,A73,1,A121,A43,A61,A14,1,A101,A201,1,1
287,1,6948,A32,36,A151,2,A174,1,1,A143,A93,A73,2,A123,A41,A61,A12,0,A101,A201,1,1
288,0,2473,A32,18,A152,4,A171,1,1,A143,A93,A71,1,A123,A42,A61,A11,1,A101,A201,0,0
289,1,10477,A34,36,A153,2,A173,2,1,A143,A93,A75,4,A124,A41,A65,A14,1,A101,A201,1,1
290,1,7476,A32,48,A153,4,A174,1,1,A143,A93,A74,1,A124,A46,A61,A11,0,A101,A201,1,1
291,1,1374,A32,6,A152,4,A174,1,1,A143,A92,A71,3,A122,A40,A65,A11,0,A101,A201,1,1
292,1,5190,A32,27,A152,4,A173,4,2,A143,A93,A75,4,A122,A45,A65,A14,0,A101,A201,1,1
293,1,1103,A32,12,A152,4,A173,2,1,A143,A93,A74,3,A121,A43,A61,A12,1,A103,A202,1,1
294,1,2753,A32,9,A152,3,A173,1,1,A143,A93,A75,4,A123,A43,A62,A14,0,A102,A201,1,1
295,1,3939,A34,11,A152,1,A172,2,2,A143,A93,A73,2,A121,A40,A61,A11,1,A101,A201,1,1
296,1,3386,A32,12,A153,3,A173,1,1,A143,A93,A75,4,A124,A41,A61,A11,0,A101,A201,0,1
297,1,1422,A32,9,A153,3,A174,1,1,A143,A93,A72,2,A124,A40,A61,A11,0,A101,A201,0,1
298,0,1534,A32,12,A151,1,A173,1,1,A143,A94,A72,1,A121,A43,A61,A12,1,A101,A201,0,0
299,1,7814,A32,24,A152,3,A174,1,1,A143,A93,A74,3,A123,A41,A61,A14,0,A101,A201,1,1
300,1,950,A30,15,A151,4,A173,2,2,A143,A93,A75,3,A123,A40,A61,A11,1,A101,A201,0,1
301,1,1244,A34,9,A151,4,A172,2,1,A143,A92,A75,4,A122,A46,A65,A14,1,A101,A201,1,1
302,0,8072,A30,30,A152,2,A173,3,1,A141,A93,A72,3,A123,A49,A65,A11,1,A101,A201,1,0
303,1,2712,A32,36,A152,2,A173,1,2,A141,A93,A75,2,A122,A42,A61,A11,1,A101,A201,0,1
304,1,1474,A32,12,A152,4,A174,1,1,A141,A92,A72,1,A122,A42,A61,A13,0,A101,A201,1,1
305,1,1795,A34,18,A151,3,A172,2,1,A141,A92,A75,4,A121,A43,A61,A12,0,A103,A201,1,1
306,1,2760,A32,24,A153,4,A173,1,1,A141,A93,A75,4,A124,A41,A65,A12,0,A101,A201,1,1
307,1,7057,A33,20,A151,3,A174,2,2,A141,A93,A74,4,A122,A41,A65,A12,0,A101,A201,1,1
308,1,2662,A32,18,A152,4,A173,1,1,A143,A93,A74,3,A122,A40,A65,A14,1,A101,A202,1,1
309,0,2145,A33,36,A152,2,A173,2,1,A143,A93,A74,1,A123,A49,A61,A11,0,A101,A201,0,0
310,1,1169,A34,18,A152,4,A173,2,1,A143,A93,A73,3,A122,A43,A65,A14,0,A101,A201,1,1
311,1,1287,A34,24,A152,4,A173,2,1,A143,A92,A75,4,A121,A40,A64,A14,0,A101,A201,1,1
312,1,750,A32,18,A152,4,A171,1,1,A143,A92,A71,1,A121,A46,A61,A11,1,A101,A201,0,1
313,1,1559,A31,24,A152,4,A173,1,1,A141,A93,A74,4,A123,A49,A61,A14,0,A101,A201,1,1
314,1,790,A32,9,A152,4,A172,1,1,A143,A92,A73,3,A121,A43,A63,A12,1,A101,A201,1,1
315,1,3062,A32,24,A151,4,A173,1,1,A143,A93,A75,3,A124,A42,A63,A14,0,A101,A201,1,1
316,1,1530,A34,18,A152,3,A173,2,1,A141,A93,A73,2,A122,A40,A61,A14,1,A101,A201,0,1
317,0,1808,A33,18,A152,4,A173,1,1,A143,A92,A74,1,A121,A42,A61,A14,1,A101,A201,0,0
318,1,1935,A34,12,A152,4,A173,3,1,A143,A93,A75,4,A121,A42,A61,A14,0,A101,A201,1,1
319,1,12169,A31,48,A153,4,A174,1,1,A143,A93,A71,4,A124,A40,A65,A12,0,A102,A201,1,1
320,0,2828,A31,24,A152,4,A173,1,1,A142,A93,A73,4,A121,A42,A63,A11,0,A101,A201,1,0
321,0,7855,A34,36,A152,4,A173,2,1,A142,A92,A73,2,A121,A40,A61,A14,0,A101,A201,0,0
322,1,1503,A33,12,A151,4,A173,1,1,A143,A94,A73,4,A121,A41,A61,A14,1,A101,A201,1,1
323,1,3844,A30,48,A153,4,A172,1,2,A143,A93,A74,4,A124,A49,A62,A12,1,A101,A201,0,1
324,1,1113,A32,18,A152,4,A172,1,2,A143,A92,A73,4,A121,A43,A61,A12,1,A103,A201,1,1
325,1,2745,A34,21,A152,3,A173,2,1,A143,A93,A74,2,A123,A42,A64,A12,0,A101,A201,1,1
326,1,1123,A32,12,A151,4,A172,1,1,A143,A92,A73,4,A123,A42,A63,A14,1,A101,A201,0,1
327,0,3763,A32,21,A152,2,A172,1,1,A143,A93,A74,2,A121,A40,A65,A11,1,A102,A202,1,0
328,1,4042,A34,24,A152,3,A173,2,1,A143,A93,A74,4,A122,A41,A65,A14,0,A101,A201,1,1
329,0,3105,A32,24,A152,4,A173,2,1,A143,A93,A72,2,A123,A43,A65,A14,1,A101,A201,1,0
330,0,3617,A34,24,A151,4,A173,2,1,A143,A93,A75,4,A124,A42,A65,A13,1,A102,A201,1,0
331,1,3609,A31,48,A152,1,A173,1,1,A142,A92,A73,1,A121,A49,A61,A14,1,A101,A201,1,1
332,1,2390,A32,12,A152,4,A173,1,1,A143,A93,A75,3,A123,A40,A65,A14,0,A101,A201,1,1
333,1,2359,A32,24,A152,1,A173,1,1,A143,A91,A71,1,A122,A42,A62,A11,1,A101,A201,0,1
334,1,1881,A32,12,A151,2,A172,1,1,A143,A92,A73,2,A123,A43,A61,A13,0,A101,A201,1,1
335,1,1262,A32,12,A152,2,A172,1,1,A143,A91,A75,4,A122,A42,A65,A11,0,A101,A201,1,1
336,1,1193,A31,24,A151,1,A171,2,1,A143,A92,A71,4,A124,A40,A61,A11,1,A102,A201,0,1
337,0,8065,A34,36,A152,3,A174,2,1,A143,A92,A73,2,A124,A46,A61,A11,0,A101,A201,0,0
338,0,2762,A32,12,A152,1,A173,1,1,A141,A92,A75,2,A122,A42,A65,A12,0,A101,A201,0,0
339,1,3331,A34,12,A152,2,A173,1,1,A142,A93,A75,4,A122,A42,A61,A14,1,A101,A201,1,1
340,1,2251,A32,12,A152,1,A172,1,1,A143,A92,A73,2,A123,A42,A61,A13,1,A101,A201,1,1
341,1,2320,A33,18,A152,2,A173,2,1,A143,A94,A71,3,A121,A43,A61,A14,1,A101,A201,1,1
342,1,3949,A32,10,A152,1,A172,1,2,A143,A93,A72,1,A122,A40,A61,A13,1,A103,A201,1,1
343,1,2600,A32,18,A153,4,A173,2,1,A143,A93,A73,4,A124,A43,A61,A11,1,A101,A201,0,1
344,1,3195,A32,9,A152,1,A172,1,1,A143,A92,A73,2,A121,A40,A65,A12,1,A101,A201,1,1
345,1,3357,A32,21,A152,4,A173,1,1,A141,A92,A72,2,A123,A43,A64,A11,1,A101,A201,1,1
346,0,5743,A34,24,A153,2,A173,2,1,A143,A92,A72,4,A124,A46,A61,A12,0,A101,A201,1,0
347,1,2799,A34,9,A151,2,A173,2,2,A143,A93,A73,2,A121,A40,A61,A11,1,A101,A201,1,1
348,1,4351,A32,24,A152,1,A172,1,1,A143,A92,A73,4,A122,A42,A65,A12,0,A101,A201,1,1
349,1,1715,A32,30,A152,4,A173,1,1,A143,A92,A73,1,A123,A43,A65,A12,1,A101,A201,1,1
350,1,1979,A32,15,A152,4,A173,1,1,A143,A93,A75,2,A123,A43,A65,A14,1,A101,A201,1,1
351,1,2319,A34,21,A151,2,A173,1,1,A143,A91,A72,1,A123,A46,A61,A13,1,A101,A201,0,1
352,1,976,A34,12,A152,4,A173,2,1,A143,A93,A75,4,A123,A43,A65,A14,1,A101,A201,1,1
353,1,4679,A33,24,A152,3,A172,2,1,A143,A93,A74,3,A123,A41,A61,A14,0,A101,A201,1,1
354,1,2577,A32,12,A152,2,A173,1,1,A143,A91,A73,1,A123,A42,A61,A11,1,A101,A201,1,1
355,1,7485,A31,30,A152,4,A174,1,1,A141,A92,A71,1,A121,A41,A65,A14,0,A101,A201,0,1
356,1,1591,A33,21,A152,4,A174,2,1,A143,A93,A74,3,A121,A42,A62,A14,1,A101,A201,1,1
357,0,2101,A32,13,A152,2,A172,1,1,A143,A92,A72,4,A122,A43,A61,A12,1,A103,A201,1,0
358,1,4463,A33,36,A152,4,A174,2,1,A143,A93,A73,2,A123,A43,A61,A14,0,A101,A201,0,1
359,1,754,A32,12,A152,4,A173,2,1,A143,A93,A75,4,A122,A48,A65,A12,1,A101,A201,1,1
360,1,2292,A34,12,A152,4,A174,2,1,A142,A93,A71,2,A123,A49,A61,A14,0,A101,A201,0,1
361,1,2528,A32,27,A152,4,A173,1,2,A143,A92,A72,1,A122,A49,A61,A12,0,A101,A201,1,1
362,0,976,A32,18,A152,1,A172,1,1,A143,A92,A72,2,A123,A40,A61,A11,1,A101,A201,0,0
363,1,5381,A32,48,A153,3,A171,1,1,A141,A93,A71,4,A124,A410,A65,A12,0,A101,A201,1,1
364,1,1136,A34,9,A153,4,A173,2,2,A143,A93,A75,3,A124,A46,A64,A12,1,A101,A201,0,1
365,0,392,A32,15,A151,4,A173,1,1,A143,A92,A72,4,A122,A46,A61,A13,0,A101,A201,1,0
366,1,683,A33,6,A152,2,A173,1,1,A141,A92,A72,1,A122,A43,A61,A13,1,A101,A201,1,1
367,0,2570,A32,27,A151,3,A173,1,1,A143,A92,A73,3,A121,A40,A61,A14,1,A101,A201,0,0
368,1,14318,A32,36,A153,4,A174,1,1,A143,A93,A75,2,A124,A40,A61,A12,0,A101,A201,0,1
369,1,4057,A32,24,A152,3,A173,1,1,A143,A91,A74,3,A123,A42,A61,A12,0,A101,A201,0,1
370,0,874,A32,15,A152,4,A173,1,1,A143,A92,A72,1,A121,A44,A65,A14,1,A101,A201,1,0
371,1,1555,A33,12,A153,4,A173,2,2,A143,A93,A75,4,A124,A45,A64,A14,1,A101,A201,0,1
372,1,3976,A32,21,A152,2,A173,1,1,A143,A93,A74,3,A123,A42,A65,A12,0,A101,A201,1,1
373,1,1402,A34,12,A151,3,A173,1,1,A143,A92,A74,4,A123,A42,A63,A14,0,A101,A201,1,1
374,0,3213,A32,18,A151,1,A173,1,1,A143,A94,A72,3,A121,A43,A63,A12,1,A101,A201,1,0
375,0,1514,A32,15,A152,4,A173,1,1,A143,A93,A73,2,A121,A45,A62,A12,1,A103,A201,1,0
376,1,4594,A32,18,A152,3,A173,1,1,A143,A93,A72,2,A123,A43,A61,A14,0,A101,A201,1,1
377,1,2872,A34,24,A152,3,A173,1,2,A143,A93,A75,4,A121,A43,A62,A14,0,A101,A201,1,1
378,1,1308,A32,15,A152,4,A172,2,1,A143,A93,A75,4,A123,A45,A61,A12,1,A101,A201,1,1
379,1,717,A33,24,A152,4,A173,2,1,A143,A94,A75,4,A123,A40,A65,A14,0,A101,A201,1,1
380,1,3017,A34,30,A152,4,A173,1,1,A143,A93,A75,4,A122,A43,A61,A13,1,A101,A201,1,1
381,1,2406,A34,9,A152,2,A174,1,1,A143,A93,A71,3,A123,A42,A61,A14,1,A101,A201,1,1
382,1,3535,A34,36,A152,4,A173,2,1,A143,A93,A74,4,A123,A40,A61,A14,0,A101,A201,1,1
383,1,1175,A34,16,A153,2,A171,3,1,A143,A93,A71,3,A123,A40,A61,A12,0,A101,A201,1,1
384,1,3060,A32,48,A152,4,A173,2,1,A143,A93,A74,4,A121,A43,A61,A12,1,A101,A201,0,1
385,0,1200,A32,12,A151,4,A173,1,1,A141,A92,A73,4,A122,A46,A65,A11,0,A101,A201,1,0
386,1,3518,A32,6,A151,2,A173,1,1,A143,A93,A73,3,A122,A40,A61,A14,1,A103,A201,1,1
387,1,1721,A32,15,A152,2,A173,1,1,A143,A93,A72,3,A121,A40,A61,A11,1,A101,A201,1,1
388,1,3051,A32,48,A152,3,A173,1,1,A143,A93,A73,4,A123,A44,A61,A11,1,A101,A201,0,1
389,1,1505,A32,18,A153,4,A174,1,1,A143,A93,A73,2,A124,A43,A61,A14,0,A101,A201,1,1
390,0,1313,A32,9,A152,1,A173,1,1,A143,A93,A75,4,A123,A42,A61,A14,1,A101,A201,1,0
391,1,1501,A34,9,A152,2,A174,2,1,A143,A92,A75,3,A123,A46,A61,A12,0,A101,A201,0,1
392,1,2848,A32,10,A152,1,A173,1,2,A143,A93,A73,2,A121,A41,A62,A14,1,A102,A201,1,1
393,1,1264,A34,12,A151,4,A172,1,1,A143,A93,A75,4,A124,A49,A65,A14,1,A101,A201,1,1
394,1,1344,A34,24,A152,4,A172,2,2,A141,A93,A74,2,A121,A40,A65,A13,1,A101,A201,0,1
395,1,730,A34,7,A151,4,A172,2,1,A143,A93,A75,2,A122,A43,A65,A14,0,A101,A201,1,1
396,1,1221,A34,6,A152,1,A173,2,1,A143,A94,A73,2,A122,A42,A65,A14,1,A101,A201,1,1
