inputId,Status_of_existing_checking_account,Duration_in_month,Credit_history,Purpose,Credit_amount,Savings_account_bonds,Present_employment_since,Installment_rate_in_percentage_of_disposable_income,Personal_status_and_sex,_Other_debtors_or_guarantors,Present_residence_since,Property,Age_in_years,Other_installment_plans,Housing,Number_of_existing_credits_at_this_bank,Job,Number_of_people_being_liable_to_provide_maintenance_for,Telephone,foreign_worker,good_3_bad_2_customer,groups
0,A14,15,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,2,1,A201,1,1
1,A14,10,A34,A49,250,A63,A74,2,A94,A101,3,A123,1,A141,A151,2,A174,2,1,A201,1,1
2,A14,15,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A141,A152,2,A173,1,1,A201,1,1
3,A14,17,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A173,1,1,A201,1,1
4,A14,20,A32,A49,250,A63,A74,2,A91,A101,3,A122,1,A141,A151,2,A174,1,1,A201,1,1
5,A14,18,A31,A49,250,A63,A74,2,A94,A101,3,A123,1,A143,A152,2,A173,1,1,A201,1,1
6,A14,16,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,1,1,A201,1,1
7,A14,14,A31,A49,250,A63,A74,2,A94,A101,3,A123,1,A143,A152,2,A174,2,1,A201,1,1
8,A14,18,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A173,2,1,A201,1,1
9,A14,20,A34,A49,250,A63,A74,2,A91,A101,3,A123,0,A143,A152,2,A173,2,1,A201,1,0
10,A14,14,A34,A49,250,A63,A74,2,A91,A101,3,A123,0,A143,A152,2,A174,2,1,A201,1,0
11,A14,16,A34,A49,250,A63,A74,2,A93,A101,3,A122,1,A143,A152,2,A173,2,1,A201,1,1
12,A14,15,A34,A49,250,A63,A72,2,A91,A101,3,A122,1,A141,A152,2,A174,1,1,A201,1,1
13,A14,14,A31,A49,250,A63,A74,2,A94,A101,3,A123,1,A143,A152,2,A173,2,1,A201,1,1
14,A14,17,A31,A49,250,A63,A74,2,A94,A101,3,A122,1,A143,A152,2,A173,1,1,A201,1,1
15,A14,13,A31,A49,250,A61,A74,2,A91,A101,3,A123,1,A143,A152,2,A173,2,1,A201,1,1
16,A14,15,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,2,1,A201,1,1
17,A14,16,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,1,1,A201,1,1
18,A14,15,A34,A49,250,A62,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,2,1,A201,1,1
19,A14,17,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,2,1,A201,1,1
20,A14,16,A34,A49,250,A63,A74,2,A91,A101,3,A123,0,A143,A152,2,A173,2,1,A201,1,0
21,A14,14,A31,A49,250,A63,A75,2,A94,A101,3,A123,1,A143,A152,2,A173,2,1,A201,1,1
22,A14,15,A31,A49,250,A63,A75,2,A91,A101,3,A123,0,A143,A152,2,A173,2,1,A201,1,0
23,A14,20,A34,A49,250,A63,A74,2,A91,A101,3,A123,0,A143,A152,2,A174,2,1,A201,1,0
24,A14,16,A34,A49,250,A61,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,2,1,A201,1,1
25,A14,19,A31,A49,250,A63,A74,2,A94,A101,3,A122,1,A143,A151,2,A173,1,1,A201,1,1
26,A14,17,A31,A49,250,A63,A74,2,A94,A101,3,A123,1,A141,A151,2,A173,1,1,A201,1,1
27,A14,18,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A173,1,1,A201,1,1
28,A14,21,A32,A49,250,A63,A74,2,A94,A101,3,A122,1,A141,A152,2,A173,1,1,A201,1,1
29,A14,19,A31,A49,250,A63,A74,2,A91,A101,3,A123,0,A143,A152,2,A174,1,1,A201,1,0
30,A14,21,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A173,1,1,A201,1,1
31,A14,20,A34,A49,250,A63,A74,2,A91,A101,3,A123,0,A143,A152,2,A174,1,1,A201,1,0
32,A14,17,A34,A49,250,A63,A74,2,A91,A101,3,A122,1,A141,A152,1,A173,1,1,A201,1,1
33,A14,13,A31,A49,250,A63,A74,2,A93,A101,3,A123,1,A143,A151,2,A173,1,1,A201,1,1
34,A14,15,A34,A49,250,A63,A74,2,A94,A101,3,A123,1,A143,A152,2,A173,1,1,A201,1,1
35,A14,12,A34,A49,250,A63,A75,2,A93,A101,3,A122,1,A141,A151,2,A174,1,1,A201,1,1
36,A14,13,A31,A49,250,A63,A74,2,A94,A101,3,A123,1,A143,A152,2,A174,1,1,A201,1,1
37,A14,18,A34,A49,250,A63,A74,2,A91,A101,3,A122,1,A143,A152,2,A173,1,1,A201,1,1
38,A14,11,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A141,A152,2,A174,2,1,A201,1,1
39,A14,17,A34,A49,250,A63,A74,2,A91,A101,3,A123,0,A143,A152,2,A174,2,1,A201,1,0
40,A14,17,A31,A49,250,A63,A74,2,A91,A101,3,A122,1,A143,A152,2,A173,1,1,A201,1,1
41,A14,17,A34,A49,250,A63,A74,2,A94,A101,3,A122,1,A141,A152,2,A173,1,1,A201,1,1
42,A14,18,A31,A49,250,A63,A74,2,A94,A101,3,A122,1,A143,A151,2,A173,1,1,A201,1,1
43,A14,19,A31,A49,250,A63,A74,2,A93,A101,3,A122,0,A143,A152,2,A173,1,1,A201,1,0
44,A14,18,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A173,1,1,A201,1,1
45,A14,14,A34,A49,250,A63,A74,2,A91,A101,3,A123,0,A143,A152,2,A174,2,1,A201,1,0
46,A14,18,A32,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A151,2,A173,1,1,A201,1,1
47,A14,18,A34,A49,250,A63,A74,2,A91,A101,3,A122,1,A141,A152,2,A173,1,1,A201,1,1
48,A14,17,A32,A49,250,A63,A74,2,A94,A101,3,A123,1,A143,A152,2,A174,1,1,A201,1,1
49,A14,13,A31,A49,250,A63,A74,2,A94,A101,3,A123,1,A141,A152,2,A173,2,1,A201,1,1
50,A14,20,A32,A49,250,A63,A74,2,A94,A101,3,A122,1,A143,A151,2,A173,1,1,A201,1,1
51,A14,18,A34,A49,250,A63,A74,2,A91,A101,3,A123,0,A143,A152,2,A174,2,1,A201,1,0
52,A14,16,A31,A49,250,A63,A74,2,A94,A101,3,A123,1,A143,A152,2,A174,2,1,A201,1,1
53,A14,19,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A173,1,1,A201,1,1
54,A14,18,A34,A49,250,A63,A74,2,A91,A101,3,A122,1,A143,A152,2,A173,1,1,A201,1,1
55,A14,16,A34,A49,250,A63,A74,2,A94,A101,3,A122,0,A141,A152,2,A173,1,1,A201,1,0
56,A14,16,A34,A49,250,A63,A74,2,A94,A101,3,A123,1,A143,A152,2,A173,2,1,A201,1,1
57,A14,15,A31,A49,250,A63,A74,2,A91,A101,3,A122,1,A143,A152,2,A174,2,1,A201,1,1
58,A14,17,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,2,1,A201,1,1
59,A14,16,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,2,1,A201,1,1
60,A14,18,A31,A49,250,A63,A74,2,A94,A101,3,A122,1,A143,A151,2,A173,1,1,A201,1,1
61,A14,12,A34,A49,250,A63,A74,2,A94,A101,3,A122,1,A141,A151,2,A173,1,1,A201,1,1
62,A14,16,A32,A49,250,A63,A74,2,A94,A101,3,A123,0,A143,A151,2,A174,1,1,A201,1,0
63,A14,15,A32,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,2,1,A201,1,1
64,A14,17,A31,A49,250,A63,A74,2,A91,A101,3,A122,0,A141,A152,2,A173,1,1,A201,1,0
65,A14,17,A34,A49,250,A63,A74,2,A91,A101,3,A122,0,A141,A152,2,A173,1,1,A201,1,0
66,A14,15,A34,A49,250,A63,A74,2,A94,A101,3,A123,0,A141,A152,2,A174,2,1,A201,1,0
67,A14,16,A34,A49,250,A61,A74,2,A91,A101,3,A123,1,A141,A152,1,A173,1,1,A201,1,1
68,A14,17,A34,A49,250,A63,A74,2,A91,A101,3,A123,0,A143,A152,2,A174,1,1,A201,1,0
69,A14,14,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A141,A151,2,A174,1,1,A201,1,1
70,A14,18,A32,A49,250,A62,A75,2,A91,A101,3,A123,0,A143,A152,2,A173,1,1,A201,1,0
71,A14,19,A31,A49,250,A63,A74,2,A91,A101,3,A122,1,A143,A151,2,A173,2,1,A201,1,1
72,A14,14,A31,A49,250,A63,A74,2,A93,A101,3,A123,1,A141,A152,2,A174,1,1,A201,1,1
73,A14,16,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A141,A152,2,A174,2,1,A201,1,1
74,A14,20,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A173,1,1,A201,1,1
75,A14,11,A34,A49,250,A63,A74,2,A91,A101,3,A122,1,A141,A151,1,A174,1,1,A201,1,1
76,A14,20,A34,A49,250,A63,A74,2,A91,A101,3,A122,1,A141,A152,2,A173,1,1,A201,1,1
77,A14,16,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,2,1,A201,1,1
78,A14,16,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A173,2,1,A201,1,1
79,A14,13,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A141,A151,2,A174,1,1,A201,1,1
80,A14,19,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A173,2,1,A201,1,1
81,A14,16,A31,A49,250,A63,A74,2,A94,A101,3,A123,1,A143,A151,2,A173,1,1,A201,1,1
82,A14,12,A34,A49,250,A61,A74,2,A91,A101,2,A123,1,A143,A151,2,A173,2,1,A201,1,1
83,A14,19,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A173,2,1,A201,1,1
84,A14,18,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A141,A152,2,A174,1,1,A201,1,1
85,A14,12,A34,A49,250,A63,A74,2,A94,A101,3,A123,1,A143,A152,2,A174,1,1,A201,1,1
86,A14,17,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A173,1,1,A201,1,1
87,A14,18,A31,A49,250,A63,A74,2,A93,A101,3,A122,1,A143,A152,2,A173,1,1,A201,1,1
88,A14,15,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A141,A152,2,A174,2,1,A201,1,1
89,A14,19,A31,A49,250,A63,A74,2,A91,A101,3,A122,1,A141,A152,2,A174,1,1,A201,1,1
90,A14,17,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A141,A152,2,A174,2,1,A201,1,1
91,A14,13,A31,A49,250,A63,A74,2,A94,A101,3,A123,1,A143,A152,2,A174,1,1,A201,1,1
92,A14,17,A34,A49,250,A63,A74,2,A94,A101,3,A123,0,A143,A152,2,A174,1,1,A201,1,0
93,A14,13,A31,A49,250,A63,A74,2,A94,A101,3,A123,1,A141,A151,2,A173,2,1,A201,1,1
94,A14,18,A32,A49,250,A61,A74,2,A94,A101,3,A123,0,A143,A151,2,A173,2,1,A201,1,0
95,A14,12,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A141,A152,1,A174,1,1,A201,1,1
96,A14,15,A34,A49,250,A63,A74,2,A93,A101,3,A123,1,A141,A151,2,A173,1,1,A201,1,1
97,A14,22,A32,A49,250,A61,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,2,1,A201,1,1
98,A14,19,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A173,1,1,A201,1,1
99,A14,17,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A151,2,A173,1,1,A201,1,1
100,A14,18,A32,A49,250,A61,A75,2,A91,A101,3,A122,1,A143,A152,2,A173,1,1,A201,1,1
101,A14,17,A34,A49,250,A63,A74,2,A91,A101,3,A123,0,A143,A152,2,A174,2,1,A201,1,0
102,A14,19,A34,A49,250,A62,A74,2,A91,A101,3,A123,1,A141,A152,2,A174,2,1,A201,1,1
103,A14,15,A34,A49,250,A63,A74,2,A94,A101,3,A123,0,A141,A151,2,A174,2,1,A201,1,0
104,A14,15,A34,A49,250,A63,A74,2,A91,A101,3,A123,0,A143,A152,2,A174,2,1,A201,1,0
105,A14,17,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A173,1,1,A201,1,1
106,A14,15,A32,A49,250,A63,A74,2,A91,A101,2,A123,1,A143,A151,2,A173,1,1,A201,1,1
107,A14,15,A31,A49,250,A63,A74,2,A91,A101,3,A122,1,A143,A152,2,A174,1,1,A201,1,1
108,A14,15,A34,A49,250,A63,A74,2,A91,A101,3,A123,0,A143,A152,2,A174,2,1,A201,1,0
109,A14,19,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A141,A152,2,A173,1,1,A201,1,1
110,A14,16,A34,A49,250,A62,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,2,1,A201,1,1
111,A14,19,A32,A49,250,A63,A74,2,A94,A101,3,A123,1,A143,A152,2,A173,2,1,A201,1,1
112,A14,18,A31,A49,250,A63,A75,2,A91,A101,3,A122,1,A143,A151,2,A173,1,1,A201,1,1
113,A14,19,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A141,A152,2,A173,1,1,A201,1,1
114,A14,17,A32,A49,250,A63,A75,2,A94,A101,3,A123,1,A143,A152,2,A173,1,1,A201,1,1
115,A14,13,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A151,2,A174,1,1,A201,1,1
116,A14,19,A32,A49,250,A63,A74,2,A91,A101,3,A122,1,A143,A152,2,A173,1,1,A201,1,1
117,A14,17,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,2,1,A201,1,1
118,A14,14,A31,A49,250,A63,A74,2,A94,A101,3,A123,1,A141,A152,2,A174,1,1,A201,1,1
119,A14,18,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A141,A152,1,A174,2,1,A201,1,1
120,A14,14,A34,A49,250,A64,A74,2,A91,A101,3,A123,1,A143,A151,2,A174,1,1,A201,1,1
121,A14,20,A34,A49,250,A63,A74,2,A91,A101,3,A122,1,A141,A152,2,A174,1,1,A201,1,1
122,A14,17,A31,A49,250,A63,A74,2,A91,A101,3,A122,1,A143,A152,2,A173,1,1,A201,1,1
123,A14,14,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,1,1,A201,1,1
124,A14,16,A31,A49,250,A63,A74,2,A91,A101,3,A123,0,A143,A151,2,A174,1,1,A201,1,0
125,A14,18,A31,A49,250,A63,A74,2,A91,A101,3,A122,1,A141,A152,1,A174,1,1,A201,1,1
126,A14,21,A32,A49,250,A63,A74,2,A91,A101,3,A123,0,A143,A152,2,A174,1,1,A201,1,0
127,A14,17,A32,A49,250,A63,A74,2,A94,A101,3,A122,1,A141,A152,2,A173,1,1,A201,1,1
128,A14,19,A31,A49,250,A63,A74,2,A91,A101,3,A122,1,A143,A152,2,A173,1,1,A201,1,1
129,A14,17,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,1,1,A201,1,1
130,A14,17,A31,A49,250,A61,A74,2,A94,A101,3,A123,1,A143,A151,2,A173,1,1,A201,1,1
131,A14,20,A32,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,1,1,A201,1,1
132,A14,16,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,1,1,A201,1,1
133,A14,16,A34,A49,250,A63,A74,2,A94,A101,3,A122,1,A141,A151,2,A173,1,1,A201,1,1
134,A14,18,A31,A49,250,A61,A74,2,A93,A101,3,A123,1,A143,A151,2,A173,1,1,A201,1,1
135,A14,17,A32,A49,250,A63,A75,2,A94,A101,3,A122,0,A143,A152,2,A173,1,1,A201,1,0
136,A14,12,A34,A49,250,A63,A74,2,A94,A101,3,A123,1,A141,A152,2,A174,2,1,A201,1,1
137,A14,17,A31,A49,250,A63,A74,2,A91,A101,3,A123,0,A143,A152,2,A174,2,1,A201,1,0
138,A14,14,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A151,2,A174,1,1,A201,1,1
139,A14,19,A31,A49,250,A63,A74,2,A91,A101,3,A123,0,A143,A152,2,A174,1,1,A201,1,0
140,A14,15,A34,A49,250,A63,A74,2,A94,A101,3,A123,0,A143,A152,2,A174,2,1,A201,1,0
141,A14,17,A31,A49,250,A61,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,2,1,A201,1,1
142,A14,17,A34,A49,250,A63,A75,2,A91,A101,3,A122,1,A141,A152,2,A174,1,1,A201,1,1
143,A14,17,A34,A49,250,A63,A74,2,A94,A101,3,A122,1,A143,A152,2,A173,1,1,A201,1,1
144,A14,17,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A141,A152,2,A173,1,1,A201,1,1
145,A14,14,A31,A49,250,A63,A74,2,A93,A101,3,A122,1,A143,A151,2,A173,1,1,A201,1,1
146,A14,14,A31,A49,250,A63,A74,2,A94,A101,3,A123,1,A143,A152,2,A174,2,1,A201,1,1
147,A14,18,A34,A49,250,A62,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,2,1,A201,1,1
148,A14,17,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A173,2,1,A201,1,1
149,A14,20,A31,A49,250,A63,A74,2,A94,A101,3,A123,1,A141,A152,2,A174,1,1,A201,1,1
150,A14,14,A31,A49,250,A63,A74,2,A93,A101,3,A123,1,A143,A152,2,A173,2,1,A201,1,1
151,A14,17,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,2,1,A201,1,1
152,A14,16,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,1,1,A201,1,1
153,A14,21,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A173,2,1,A201,1,1
154,A14,18,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A173,1,1,A201,1,1
155,A14,17,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A173,1,1,A201,1,1
156,A14,14,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A141,A152,2,A174,1,1,A201,1,1
157,A14,16,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,1,1,A201,1,1
158,A14,18,A32,A49,250,A63,A74,2,A94,A101,3,A123,0,A143,A152,2,A173,2,1,A201,1,0
159,A14,17,A34,A49,250,A63,A74,2,A91,A101,3,A123,0,A143,A152,2,A174,1,1,A201,1,0
160,A14,15,A31,A49,250,A63,A74,2,A94,A101,3,A122,1,A143,A152,2,A173,2,1,A201,1,1
161,A14,14,A31,A49,250,A63,A74,3,A94,A101,3,A122,1,A143,A151,2,A173,2,1,A201,1,1
162,A14,14,A34,A49,250,A63,A75,2,A94,A101,3,A122,1,A143,A151,2,A173,1,1,A201,1,1
163,A14,16,A31,A49,250,A63,A74,2,A94,A101,3,A122,1,A143,A152,2,A173,1,1,A201,1,1
164,A14,18,A31,A49,250,A62,A74,2,A91,A101,3,A122,1,A143,A152,2,A173,1,1,A201,1,1
165,A14,18,A31,A49,250,A63,A74,2,A94,A101,3,A122,0,A143,A151,2,A173,1,1,A201,1,0
166,A14,16,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A141,A152,2,A174,2,1,A201,1,1
167,A14,15,A34,A49,250,A63,A72,2,A91,A101,3,A122,1,A143,A152,2,A173,1,1,A201,1,1
168,A14,16,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,2,1,A201,1,1
169,A14,18,A34,A49,250,A63,A74,2,A91,A101,3,A123,0,A143,A152,2,A174,2,1,A201,1,0
170,A14,17,A31,A49,250,A63,A74,2,A93,A101,3,A122,1,A143,A152,2,A173,1,1,A201,1,1
171,A14,19,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A141,A152,2,A174,1,1,A201,1,1
172,A14,17,A34,A49,250,A63,A74,2,A94,A101,3,A123,0,A141,A152,2,A173,1,1,A201,1,0
173,A14,18,A34,A49,250,A63,A75,2,A91,A101,3,A122,1,A143,A152,2,A173,1,1,A201,1,1
174,A14,13,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A151,2,A173,1,1,A201,1,1
175,A14,16,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,2,1,A201,1,1
176,A14,18,A31,A49,250,A61,A74,2,A91,A101,3,A123,1,A143,A152,2,A173,1,1,A201,1,1
177,A14,19,A34,A49,250,A62,A74,2,A91,A101,3,A123,1,A143,A152,2,A173,1,1,A201,1,1
178,A14,18,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A141,A152,2,A174,1,1,A201,1,1
179,A14,19,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A173,1,1,A201,1,1
180,A14,13,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A141,A151,2,A174,2,1,A201,1,1
181,A14,18,A31,A49,250,A63,A74,2,A91,A101,3,A122,1,A143,A151,2,A173,2,1,A201,1,1
182,A14,20,A32,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A173,1,1,A201,1,1
183,A14,17,A34,A49,250,A63,A74,2,A94,A101,3,A123,1,A141,A152,2,A174,2,1,A201,1,1
184,A14,17,A34,A49,250,A62,A72,2,A91,A101,3,A123,1,A143,A152,2,A173,1,1,A201,1,1
185,A14,13,A34,A49,250,A63,A74,2,A94,A101,3,A122,1,A141,A152,2,A174,1,1,A201,1,1
186,A14,14,A31,A49,250,A62,A74,2,A91,A101,3,A123,0,A143,A152,2,A174,2,1,A201,1,0
187,A14,17,A31,A49,250,A63,A74,3,A91,A101,3,A123,1,A141,A152,2,A174,2,1,A201,1,1
188,A14,14,A34,A49,250,A63,A74,2,A94,A101,3,A123,1,A143,A152,2,A174,2,1,A201,1,1
189,A14,18,A34,A49,250,A63,A74,2,A94,A101,3,A123,1,A141,A152,2,A173,1,1,A201,1,1
190,A14,16,A34,A49,250,A63,A72,2,A91,A101,3,A123,1,A143,A152,2,A174,2,1,A201,1,1
191,A14,14,A34,A49,250,A63,A74,2,A91,A101,3,A123,0,A143,A152,2,A174,2,1,A201,1,0
192,A14,18,A34,A49,250,A63,A74,2,A91,A101,3,A123,0,A143,A152,2,A173,2,1,A201,1,0
193,A14,19,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A173,1,1,A201,1,1
194,A14,16,A31,A49,250,A63,A74,2,A94,A101,3,A122,1,A143,A152,2,A173,2,1,A201,1,1
195,A14,15,A34,A49,250,A63,A74,2,A91,A101,3,A122,1,A143,A151,2,A173,1,1,A201,1,1
